,gas_verify
1,28435
2,30235
3,31530
4,32011
5,33306
7,34613
8,33799
9,35094
15,37697
16,35539
17,36859
31,40733
32,37376
33,38671
63,43864
64,39140
65,40447
127,46924
128,40952
129,42236
255,50020
256,42741
257,44036
511,53105
512,44529
513,45824
1023,56189
1024,46317
1025,47613
2047,59286
2048,48106
2049,49401
4095,62370
4096,49882
4097,51166
8191,65407
8192,51611
8193,52918
16383,68456
16384,53447
16385,54743
32767,71565
32768,55236
32769,56532
65535,74662
65536,57001
65537,58308
131071,77748
131072,58813
131073,60109
